0,0,1,47,78,93,144
1,0,1,129,116,157,164
1,0,1,44,6,137,147
2,0,1,60,77,113,184
3,0,1,7,75,188,196
4,0,1,26,52,119,163
5,0,1,56,131,113,180
6,0,1,81,121,116,172
7,0,1,21,75,179,135
8,0,1,12,123,97,261
9,0,1,127,103,226,182
10,0,1,12,13,51,56
10,0,1,221,120,262,145
11,0,1,26,107,81,128
11,0,1,41,141,83,153
11,0,1,97,216,130,228
11,0,1,66,202,108,226
11,0,1,86,155,117,167
11,0,1,51,18,87,29
11,0,1,56,49,89,60
11,0,1,55,97,87,107
12,0,1,65,72,164,128
12,0,1,72,152,190,193
12,0,1,65,219,170,240
13,0,1,6,49,79,198
13,0,1,62,8,150,154
14,0,1,42,124,90,181
15,0,1,20,37,81,94
16,0,1,14,16,56,55
16,0,1,228,118,262,144
17,0,1,93,133,170,218
18,0,1,3,127,171,248
18,0,1,5,16,172,120
19,0,1,52,146,102,210
19,0,1,118,103,159,123
20,0,1,47,51,159,292
21,0,1,57,38,121,95
22,0,1,35,191,113,282
22,0,1,51,247,101,326
23,0,1,47,60,150,194
24,0,1,89,210,141,298
25,0,1,25,32,123,173
25,0,1,128,25,237,175
26,0,1,51,66,76,239
27,0,1,63,169,113,250
28,0,1,47,144,103,254
29,0,1,94,227,131,293
29,0,1,80,163,143,194
30,0,1,7,46,74,102
31,0,1,22,125,141,187
32,0,1,41,33,67,191
33,0,1,38,120,123,301
34,0,1,22,177,63,234
35,0,1,30,231,90,296
36,0,1,44,90,86,133
37,0,1,26,117,131,193
37,0,1,20,166,121,257
37,0,1,19,207,107,300
37,0,1,17,245,67,301
37,0,1,34,12,169,79
38,0,1,51,117,138,262
39,0,1,22,33,134,97
